date	time	source_timestamp	Alabama	Alaska	Arizona	Arkansas	American Samoa	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Guam	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Northern Mariana Islands	Ohio	Oklahoma	Oregon	Pennsylvania	Puerto Rico	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	US Virgin Islands	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming
2020-03-28	00:00:00	NA	644-3-NA	85-2-NA	773-15-NA	388-3-NA	0-0-NA	3,801-78-NA	1,734-31-NA	1,291-27-NA	165-2-NA	304-4-NA	3,600-53-NA	2,366-69-NA	51-1-NA	120-0-NA	230-4-NA	3,026-34-NA	981-24-NA	298-3-NA	202-4-NA	302-7-NA	3,315-127-NA	211-1-NA	992-5-NA	3,240-35-NA	3,657-92-NA	398-4-NA	663-13-NA	670-9-NA	121-1-NA	89-2-NA	621-10-NA	187-2-NA	8,825-108-NA	191-1-NA	52,318-728-NA	934-4-NA	68-1-NA	2-0-NA	1,406-25-NA	377-15-NA	414-12-NA	2,751-34-NA	100-3-NA	203-0-NA	539-13-NA	58-1-NA	1,203-6-NA	1,731-23-NA	19-0-NA	480-2-NA	184-10-NA	739-17-NA	3,723-175-NA	96-0-NA	842-13-NA	73-0-NA
2020-03-28	00:00:00	NA	696-3-NA	85-2-NA	773-15-NA	388-3-NA	0-0-NA	3,801-78-NA	1,734-31-NA	1,291-27-NA	165-2-NA	304-4-NA	3,600-53-NA	2,366-69-NA	51-1-NA	120-0-NA	230-4-NA	3,491-47-NA	981-24-NA	298-3-NA	202-4-NA	302-7-NA	3,315-137-NA	211-1-NA	992-5-NA	4,257-44-NA	3,657-92-NA	398-4-NA	663-13-NA	670-9-NA	121-1-NA	89-2-NA	621-10-NA	187-2-NA	8,825-108-NA	191-1-NA	52,318-728-NA	934-4-NA	68-1-NA	2-0-NA	1,406-25-NA	377-15-NA	414-12-NA	2,751-34-NA	100-3-NA	230-2-NA	660-15-NA	58-1-NA	1,373-6-NA	1,731-23-NA	19-0-NA	480-2-NA	211-12-NA	739-17-NA	3,723-175-NA	96-0-NA	842-13-NA	73-0-NA
2020-03-28	00:00:00	NA	696-3-NA	85-2-NA	773-15-NA	388-3-NA	0-0-NA	3,801-78-NA	1,734-31-NA	1,291-27-NA	165-2-NA	304-4-NA	3,600-53-NA	2,366-69-NA	51-1-NA	120-0-NA	230-4-NA	3,491-47-NA	981-24-NA	298-3-NA	202-4-NA	302-7-NA	3,315-137-NA	211-1-NA	992-5-NA	4,257-44-NA	3,657-92-NA	398-4-NA	663-13-NA	670-9-NA	121-1-NA	89-2-NA	621-10-NA	187-2-NA	8,825-108-NA	191-1-NA	52,318-728-NA	934-4-NA	68-1-NA	2-0-NA	1,406-25-NA	377-15-NA	414-12-NA	2,751-34-NA	100-3-NA	230-2-NA	660-15-NA	58-1-NA	1,373-6-NA	1,731-23-NA	19-0-NA	480-2-NA	211-12-NA	739-17-NA	3,723-175-NA	96-0-NA	842-13-NA	73-0-NA
2020-03-29	19:26:33	NA	696-3-NA	85-2-NA	773-15-NA	388-3-NA	0-0-NA	3,801-78-NA	1,734-31-NA	1,291-27-NA	165-2-NA	304-4-NA	3,600-53-NA	2,366-69-NA	51-1-NA	120-0-NA	230-4-NA	3,491-47-NA	981-24-NA	298-3-NA	202-4-NA	302-7-NA	3,315-137-NA	211-1-NA	992-5-NA	4,257-44-NA	3,657-92-NA	398-4-NA	663-13-NA	670-9-NA	121-1-NA	89-2-NA	621-10-NA	187-2-NA	8,825-108-NA	191-1-NA	52,318-728-NA	934-4-NA	68-1-NA	2-0-NA	1,406-25-NA	377-15-NA	414-12-NA	2,751-34-NA	100-3-NA	230-2-NA	660-15-NA	58-1-NA	1,373-6-NA	1,731-23-NA	19-0-NA	480-2-NA	211-12-NA	739-17-NA	3,723-175-NA	96-0-NA	842-13-NA	73-0-NA
2020-03-30	17:35:25	2020-03-30 18:40:00	921-19-NA	114-16-NA	1,157-16-NA	473-16-NA	0--NA	5,763-15-NA	2,307-40-NA	2,571-72-NA	264-27-NA	401-57-NA	5,483-26-NA	2,809-26-NA	56--NA	204-14-NA	310-17-NA	5,057-40-NA	1,786-27-NA	424-13-NA	368-13-NA	480-11-NA	4,025-87-NA	275-20-NA	1,413-23-NA	5,752-83-NA	6,498-65-NA	576-10-NA	847-28-NA	1,031-17-NA	177-17-NA	145-7-NA	1,008-33-NA	258-19-NA	16,636-187-NA	281-13-NA	66,497-342-NA	1,307-12-NA	109-14-NA	2--NA	1,933-17-NA	481-12-NA	606-14-NA	4,087-32-NA	174-5-NA	408-39-NA	774-15-NA	101-11-NA	1,834-27-NA	2,877-10-NA	30--NA	806-25-NA	256-41-NA	1,020-12-NA	4,896-64-NA	145-8-NA	1,221-21-NA	94-16-NA

2020-03-30	18:05:27	2020-03-30 18:40:00	921-19-NA	114-16-NA	1,157-16-NA	473-16-NA	0--NA	5,763-15-NA	2,307-40-NA	2,571-72-NA	264-27-NA	401-57-NA	5,483-26-NA	2,809-26-NA	56--NA	204-14-NA	310-17-NA	5,057-40-NA	1,786-27-NA	424-13-NA	368-13-NA	480-11-NA	4,025-87-NA	275-20-NA	1,413-23-NA	5,752-83-NA	6,498-65-NA	576-10-NA	847-28-NA	1,031-17-NA	177-17-NA	145-7-NA	1,008-33-NA	258-19-NA	16,636-187-NA	281-13-NA	66,497-342-NA	1,307-12-NA	109-14-NA	2--NA	1,933-17-NA	481-12-NA	606-14-NA	4,087-32-NA	174-5-NA	408-39-NA	774-15-NA	101-11-NA	1,834-27-NA	2,877-10-NA	30--NA	806-25-NA	256-41-NA	1,020-12-NA	4,896-64-NA	145-8-NA	1,221-21-NA	94-16-NA
2020-03-30	18:12:29	2020-03-30 18:40:00	921-19-NA	114-16-NA	1,157-16-NA	473-16-NA	0--NA	5,763-15-NA	2,307-40-NA	2,571-72-NA	264-27-NA	401-57-NA	5,483-26-NA	2,809-26-NA	56--NA	204-14-NA	310-17-NA	5,057-40-NA	1,786-27-NA	424-13-NA	368-13-NA	480-11-NA	4,025-87-NA	275-20-NA	1,413-23-NA	5,752-83-NA	6,498-65-NA	576-10-NA	847-28-NA	1,031-17-NA	177-17-NA	145-7-NA	1,008-33-NA	258-19-NA	16,636-187-NA	281-13-NA	66,497-342-NA	1,307-12-NA	109-14-NA	2--NA	1,933-17-NA	481-12-NA	606-14-NA	4,087-32-NA	174-5-NA	408-39-NA	774-15-NA	101-11-NA	1,834-27-NA	2,877-10-NA	30--NA	806-25-NA	256-41-NA	1,020-12-NA	4,896-64-NA	145-8-NA	1,221-21-NA	94-16-NA
2020-03-30	18:18:13	2020-03-30 18:40:00	921-19-NA	114-16-NA	1,157-16-NA	473-16-NA	0--NA	5,763-15-NA	2,307-40-NA	2,571-72-NA	264-27-NA	401-57-NA	5,483-26-NA	2,809-26-NA	56--NA	204-14-NA	310-17-NA	5,057-40-NA	1,786-27-NA	424-13-NA	368-13-NA	480-11-NA	4,025-87-NA	275-20-NA	1,413-23-NA	5,752-83-NA	6,498-65-NA	576-10-NA	847-28-NA	1,031-17-NA	177-17-NA	145-7-NA	1,008-33-NA	258-19-NA	16,636-187-NA	281-13-NA	66,497-342-NA	1,307-12-NA	109-14-NA	2--NA	1,933-17-NA	481-12-NA	606-14-NA	4,087-32-NA	174-5-NA	408-39-NA	774-15-NA	101-11-NA	1,834-27-NA	2,877-10-NA	30--NA	806-25-NA	256-41-NA	1,020-12-NA	4,896-64-NA	145-8-NA	1,221-21-NA	94-16-NA
2020-03-30	18:26:50	2020-03-30 19:30:00	921-19-NA	114-16-NA	1,157-16-NA	473-16-NA	0--NA	5,763-15-NA	2,307-40-NA	2,571-72-NA	264-27-NA	401-57-NA	5,483-26-NA	2,809-26-NA	56--NA	204-14-NA	415-23-NA	5,057-40-NA	1,786-27-NA	424-13-NA	368-13-NA	480-11-NA	4,025-87-NA	275-20-NA	1,413-23-NA	5,752-83-NA	6,498-65-NA	576-10-NA	847-28-NA	1,031-17-NA	177-17-NA	145-7-NA	1,008-33-NA	258-19-NA	16,636-187-NA	281-13-NA	66,497-342-NA	1,307-12-NA	109-14-NA	2--NA	1,933-17-NA	481-12-NA	606-14-NA	4,087-32-NA	174-5-NA	408-39-NA	774-15-NA	101-11-NA	1,834-27-NA	2,877-10-NA	30--NA	806-25-NA	256-41-NA	1,020-12-NA	4,896-64-NA	145-8-NA	1,221-21-NA	94-16-NA
